TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
36724087,1,Single,1546.865,734.654,0.001,0.369,0.029,0.0,652.602,0.008,0.1529,0.4604,1.0,0.737,0.01,27.518
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
36724087,1,Single,1546.865,734.654,0.001,0.369,0.029,0.0,652.602,0.008,0.1529,0.4604,1.0,0.737,0.01,27.518
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
36724087,2,Single,1566.052,734.203,0.0,0.362,0.009,0.0,652.335,0.008,0.1529,0.4604,1.0,0.723,0.003,4.588
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
36724087,2,Single,1566.05,733.991,0.0,0.361,0.009,0.0,652.21,0.008,0.1529,0.4604,1.0,0.723,0.003,4.338
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
36724087,2,Single,1566.05,733.991,0.0,0.361,0.009,0.0,652.21,0.008,0.1529,0.4604,1.0,0.723,0.003,4.338
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
36724087,2,Single,1566.05,733.991,0.0,0.361,0.009,0.0,652.21,0.008,0.1529,0.4604,1.0,0.723,0.003,4.338
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
36724087,2,Single,1566.05,733.991,0.0,0.361,0.009,0.0,652.21,0.008,0.1529,0.4604,1.0,0.723,0.003,4.338
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
36724087,2,Single,1566.05,733.991,0.0,0.361,0.009,0.0,652.21,0.008,0.1529,0.4604,1.0,0.723,0.003,4.338
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
36724087,2,Single,1566.05,733.991,0.0,0.361,0.009,0.0,652.21,0.008,0.1529,0.4604,1.0,0.723,0.003,4.338
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
36724087,2,Single,1566.05,733.991,0.0,0.361,0.009,0.0,652.21,0.008,0.1529,0.4604,1.0,0.723,0.003,4.338
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
36724087,2,Single,1566.05,733.991,0.0,0.361,0.009,0.0,652.21,0.008,0.1529,0.4604,1.0,0.723,0.003,4.338
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
36724087,2,Single,1566.05,733.991,0.0,0.361,0.009,0.0,652.21,0.008,0.1529,0.4604,1.0,0.723,0.003,4.338
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
36724087,2,Single,1566.05,733.991,0.0,0.361,0.009,0.0,652.21,0.008,0.1529,0.4604,1.0,0.723,0.003,4.338
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
36724087,2,Single,1566.05,733.991,0.0,0.361,0.009,0.0,652.21,0.008,0.1529,0.4604,1.0,0.723,0.003,4.338
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
36724087,2,Single,1566.05,733.991,0.0,0.361,0.009,0.0,652.21,0.008,0.1529,0.4604,1.0,0.723,0.003,4.338
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
36724087,2,Single,1566.05,733.991,0.0,0.361,0.009,0.0,652.21,0.008,0.1529,0.4604,1.0,0.723,0.003,4.338
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
36724087,2,Single,1566.05,733.991,0.0,0.361,0.009,0.0,652.21,0.008,0.1529,0.4604,1.0,0.723,0.003,4.338
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
36724087,2,Single,1566.05,733.991,0.0,0.361,0.009,0.0,652.21,0.008,0.1529,0.4604,1.0,0.723,0.003,4.338
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
36724087,2,Single,1566.05,733.991,0.0,0.361,0.009,0.0,652.21,0.008,0.1529,0.4604,1.0,0.723,0.003,4.338
