TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
158588995,16.0,Period,1550.305,0.494,0.001,0.002,0.031,0.0,166.975,0.008,0.1555,0.4459,1.0,0.004,0.0,760.334
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
158588995,16.0,Period,1550.305,0.494,0.001,0.002,0.031,0.0,166.975,0.008,0.1555,0.4459,1.0,0.004,0.0,760.334
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
158588995,16.0,Period,1550.305,0.494,0.001,0.002,0.031,0.0,166.975,0.008,0.1555,0.4459,1.0,0.004,0.0,760.334
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
158588995,16.0,Period,1550.305,0.494,0.001,0.002,0.031,0.0,166.975,0.008,0.1555,0.4459,1.0,0.004,0.0,760.334
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
158588995,16.0,Period,1550.305,0.494,0.001,0.002,0.031,0.0,166.975,0.008,0.1555,0.4459,1.0,0.004,0.0,760.334
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
158588995,16.0,Period,1550.305,0.494,0.001,0.002,0.031,0.0,166.975,0.008,0.1555,0.4459,1.0,0.004,0.0,760.334
