TICID,planet_name,period,T0,Tdur,depth,SNR
219860288,1,15.369,1716.947,0.186,0.001,377.264
219860288,2,28.361,1717.111,0.19,0.0,459.482
219860288,3,38.88,1733.611,0.104,0.0,691.993
219860288,4,43.221,1728.928,0.287,0.001,818.165
219860288,5,47.91,2631.489,0.16,0.002,1350.918
219860288,6,35.342,2595.723,0.191,0.001,643.378
219860288,7,25.396,2593.233,0.083,0.001,935.035
219860288,8,37.155,2609.175,0.098,0.002,1728.967
219860288,9,23.141,2611.029,0.069,0.001,847.728
219860288,10,17.361,2600.997,0.053,0.001,508.221
