TICID,planet_name,period,T0,Tdur,depth,SNR
219860288.0,1.0,15.369,1716.947,0.186,0.001,377.264
219860288.0,2.0,28.361,1717.111,0.19,0.0,459.482
219860288.0,3.0,38.88,1733.611,0.104,0.0,691.993
219860288.0,4.0,43.221,1728.928,0.287,0.001,818.165
219860288.0,5.0,47.91,2631.489,0.16,0.002,1350.918
219860288.0,6.0,35.342,2595.723,0.191,0.001,643.378
219860288.0,7.0,25.396,2593.233,0.083,0.001,935.035
219860288.0,8.0,37.155,2609.175,0.098,0.002,1728.967
219860288.0,9.0,23.141,2611.029,0.069,0.001,847.728
219860288.0,10.0,17.361,2600.997,0.053,0.001,508.221
