TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
234994474,10.0,Period,1327.264,0.497,0.001,0.002,0.021,0.0,161.146,0.008,0.2315,0.3808,1.0,0.003,0.0,879.651
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
234994474,10.0,Period,1327.264,0.497,0.001,0.002,0.021,0.0,161.146,0.008,0.2315,0.3808,1.0,0.003,0.0,879.651
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
234994474,10.0,Period,1327.264,0.497,0.001,0.002,0.021,0.0,161.146,0.008,0.2315,0.3808,1.0,0.003,0.0,879.651
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
234994474,10.0,Period,1327.264,0.497,0.001,0.002,0.021,0.0,161.146,0.008,0.2315,0.3808,1.0,0.003,0.0,879.651
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
234994474,10.0,Period,1327.264,0.497,0.001,0.002,0.021,0.0,161.146,0.008,0.2315,0.3808,1.0,0.003,0.0,879.651
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
234994474,10.0,Period,1327.264,0.497,0.001,0.002,0.021,0.0,161.146,0.008,0.2315,0.3808,1.0,0.003,0.0,879.651
