TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
380887434,3,Period,2461.367,36.914,0.001,0.162,0.028,0.0,74.537,0.009,0.2315,0.3808,1.0,0.325,0.004,1131.527
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
380887434,3,Period,2461.367,36.914,0.001,0.162,0.028,0.0,74.537,0.009,0.2315,0.3808,1.0,0.325,0.004,1131.527
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
380887434,3,Period,2461.367,36.914,0.001,0.162,0.028,0.0,74.537,0.009,0.2315,0.3808,1.0,0.325,0.004,1131.527
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
380887434,3.0,Period,2461.367,36.914,0.001,0.162,0.028,0.0,74.537,0.009,0.2315,0.3808,1.0,0.325,0.004,1131.527
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
380887434,3.0,Period,2461.367,36.914,0.001,0.162,0.028,0.0,74.537,0.009,0.2315,0.3808,1.0,0.325,0.004,1131.527
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
380887434,3.0,Period,2461.367,36.914,0.001,0.162,0.028,0.0,74.537,0.009,0.2315,0.3808,1.0,0.325,0.004,1131.527
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
380887434,3.0,Period,2461.367,36.914,0.001,0.162,0.028,0.0,74.537,0.009,0.2315,0.3808,1.0,0.325,0.004,1131.527
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
380887434,3.0,Period,2461.367,36.914,0.001,0.162,0.028,0.0,74.537,0.009,0.2315,0.3808,1.0,0.325,0.004,1131.527
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
380887434,3.0,Period,2461.367,36.914,0.001,0.162,0.028,0.0,74.537,0.009,0.2315,0.3808,1.0,0.325,0.004,1131.527
