TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
126606859,3,Single,2420.962,1111.26,0.0,0.453,0.014,0.0,792.286,0.008,0.1555,0.4459,0.999,0.906,0.006,2.979
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
126606859,3.0,Single,2420.962,1111.26,0.0,0.453,0.014,0.0,792.286,0.008,0.1555,0.4459,0.999,0.906,0.006,2.979
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
126606859,3.0,Single,2420.962,1111.26,0.0,0.453,0.014,0.0,792.286,0.008,0.1555,0.4459,0.999,0.906,0.006,2.979
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
126606859,3.0,Single,2420.962,1111.26,0.0,0.453,0.014,0.0,792.286,0.008,0.1555,0.4459,0.999,0.906,0.006,2.979
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
126606859,3.0,Single,2420.962,1111.26,0.0,0.453,0.014,0.0,792.286,0.008,0.1555,0.4459,0.999,0.906,0.006,2.979
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
126606859,3.0,Single,2420.962,1111.26,0.0,0.453,0.014,0.0,792.286,0.008,0.1555,0.4459,0.999,0.906,0.006,2.979
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
126606859,3.0,Single,2420.962,1111.26,0.0,0.453,0.014,0.0,792.286,0.008,0.1555,0.4459,0.999,0.906,0.006,2.979
