TICID,planet_name,period,T0,Tdur,depth,SNR
260004324.0,1.0,3.813,1327.416,0.056,0.0,902.287
260004324.0,2.0,35.913,1348.153,0.291,0.0,911.026
260004324.0,3.0,44.177,1347.879,0.323,0.0,585.499
260004324.0,4.0,45.61,1335.331,0.166,0.0,2197.968
260004324.0,5.0,31.962,2055.703,0.148,0.0,1324.162
260004324.0,6.0,27.593,2063.869,0.256,0.0,815.706
260004324.0,7.0,13.303,2041.505,0.333,0.0,212.321
260004324.0,8.0,15.297,2049.228,0.049,0.0,1419.774
260004324.0,9.0,7.22,1498.626,0.016,0.001,2599.447
260004324.0,10.0,1.665,1493.564,0.033,0.0,580.911
