TICID,planet_name,period,T0,Tdur,depth,SNR
235678745.0,1.0,27.304,1709.768,0.118,0.0,1627.463
235678745.0,2.0,28.167,1704.33,0.155,0.001,1679.127
235678745.0,3.0,3.484,2585.614,0.006,0.0,1054.764
235678745.0,4.0,1.468,2584.774,0.003,0.0,1226.13
235678745.0,5.0,47.279,1697.215,0.14,0.001,2512.058
235678745.0,6.0,25.179,1688.693,0.035,0.001,2742.99
235678745.0,7.0,17.976,1690.662,0.026,0.001,3136.504
235678745.0,8.0,23.702,1689.796,0.089,0.0,893.267
235678745.0,9.0,5.87,1683.934,0.275,0.0,102.478
235678745.0,10.0,16.407,1686.793,0.049,0.0,815.695
