TICID,planet_name,period,T0,Tdur,depth,SNR
260708537,1,1.744,1326.968,0.04,0.0,645.278
260708537,2,22.705,1341.712,0.072,0.0,215.478
260708537,3,27.905,1334.985,0.093,0.0,1084.617
260708537,4,34.431,1339.022,0.06,0.0,1650.618
260708537,5,35.529,1349.244,0.181,0.0,1027.227
260708537,6,37.59,1347.424,0.144,0.0,2155.544
260708537,7,39.486,1345.29,0.108,0.0,2419.321
260708537,8,41.875,1348.248,0.347,0.0,848.43
260708537,9,43.51,1345.518,0.212,0.0,1504.387
260708537,10,45.036,1365.839,0.213,0.0,598.383
260708537,11,48.337,2077.662,0.116,0.001,5428.816
260708537,12,13.106,1334.967,0.125,0.0,173.074
260708537,13,8.575,1526.88,0.3,0.0,250.784
