TICID,planet_name,period,T0,Tdur,depth,SNR
103633434.0,1.0,13.792,1684.759,0.307,0.0,278.297
103633434.0,2.0,17.091,1688.317,0.144,0.0,629.878
103633434.0,3.0,17.893,1701.316,0.116,0.001,1167.854
103633434.0,4.0,22.814,1703.378,0.075,0.0,1695.887
103633434.0,5.0,25.679,1691.288,0.06,0.0,560.69
103633434.0,6.0,31.99,1693.609,0.142,0.0,895.904
103633434.0,7.0,34.562,1710.131,0.241,0.0,720.385
103633434.0,8.0,36.345,1702.449,0.221,0.001,1417.094
103633434.0,9.0,10.344,2393.226,0.086,0.001,999.522
103633434.0,10.0,3.445,2400.134,0.08,0.001,534.048
