TICID,planet_name,period,T0,Tdur,depth,SNR
233602827.0,1.0,4.491,1685.942,0.074,0.001,694.23
233602827.0,2.0,9.048,1688.764,0.076,0.002,1450.096
233602827.0,3.0,40.975,1723.018,0.205,0.001,1962.955
233602827.0,4.0,42.887,1707.977,0.386,0.0,408.607
233602827.0,5.0,25.297,2592.52,0.081,0.001,895.196
233602827.0,6.0,13.965,2595.453,0.6,0.0,132.941
233602827.0,7.0,3.086,2585.13,0.007,0.001,1120.599
233602827.0,8.0,24.123,2587.725,0.102,0.001,803.982
233602827.0,9.0,12.951,2584.617,0.053,0.001,805.07
233602827.0,10.0,5.065,1935.436,0.009,0.002,2516.362
