TICID,planet_name,period,T0,Tdur,depth,SNR
150428135.0,1.0,9.971,1331.328,0.095,0.0,783.134
150428135.0,2.0,16.057,1340.011,0.174,0.001,1578.718
150428135.0,3.0,39.401,1338.14,0.171,0.0,1549.214
150428135.0,4.0,45.015,1349.238,0.106,0.0,816.035
150428135.0,5.0,1.535,2204.56,0.004,0.001,3855.121
150428135.0,6.0,37.949,1421.305,0.194,0.002,3077.566
150428135.0,7.0,6.416,1388.741,0.014,0.0,989.827
150428135.0,8.0,9.041,1387.21,0.017,0.001,3353.402
150428135.0,9.0,1.847,1386.025,0.022,0.0,960.098
150428135.0,10.0,34.401,1412.452,0.062,0.0,1437.392
