ticid,gaia_id,candidate_id,ptype,t0_days,period_days,duration_days,depth,n_transits_obs,fit_is_current,source,notes,pymc_summary_json
439456714,2353440974955205632,Periodic|P=7.991968|t0=2123.81583,Periodic,2123.8158330505644,7.991967883776646,0.07,0.007125192362002162,3,False,BLS,,
439456714,2353440974955205632,Periodic|P=15.964361|t0=2119.83422,Periodic,2119.834224568617,15.964361461441937,0.06,0.006258156591472844,2,False,BLS,,
