TIME,PSF_FLUX,APER_FLUX,BKG_FLUX,QUALITY
2115.890888510498,2929.3142,2862.3755,109.05928,32
2115.8978330505643,2946.9775,2876.533,109.05779,0
2115.9047775906315,2921.4004,2862.0452,109.095345,0
2115.911722130233,2943.1892,2867.607,109.06202,0
2115.9186666698342,2937.0728,2871.9253,109.04799,0
2115.9256112085045,2939.703,2870.4797,109.08111,0
2115.932555747174,2924.5994,2867.6196,109.07291,0
2115.9395002853776,2943.9714,2850.123,108.97008,128
2115.946444823582,2919.716,2782.3582,109.0877,128
2115.953389360856,2936.061,2858.3108,109.12226,0
2115.9603338981287,2926.7136,2861.1123,109.08229,0
2115.967278434936,2937.1685,2826.1375,109.12195,128
2115.974222971277,2919.0908,2845.8262,109.15906,0
2115.981167507619,2925.965,2867.134,109.10728,0
2115.98811204303,2920.821,2861.6328,109.09304,0
2115.99505657844,2928.7297,2861.542,109.14624,0
2116.002001113384,2936.6797,2870.77,109.13063,0
2116.0089456483292,2924.314,2862.466,109.05664,0
2116.015890182809,2925.828,2863.6553,109.05588,0
2116.022834716822,2921.1782,2855.9456,109.01165,0
2116.0297792503698,2917.4783,2859.2717,109.07956,0
2116.0367237839173,2925.3499,2859.4058,109.06049,0
2116.0436683165335,2913.8157,2856.2998,109.07883,0
2116.0506128491506,2915.38,2851.3345,109.082504,0
2116.0575573817664,2915.462,2857.3096,109.047455,0
2116.0645019139165,2918.1345,2859.285,109.07491,0
2116.0714464451357,2919.0762,2854.698,109.03515,0
2116.0783909768215,2914.1472,2861.4172,109.04048,0
2116.0853355075756,2915.4792,2858.3955,109.13949,0
2116.0922800383287,2912.8718,2850.8772,109.15264,0
2116.099224568617,2917.4233,2852.8374,109.09526,0
2116.1061690989045,2921.4875,2863.1448,109.05896,0
2116.113113628261,2922.5173,2856.0793,109.144684,0
2116.120058157619,2905.6968,2853.3997,109.11545,0
2116.127002686975,2919.526,2864.7961,109.15132,0
2116.1339472158666,2895.598,2853.8374,109.07006,0
2116.1408917442923,2904.702,2854.722,109.15428,0
2116.147836272252,2926.9744,2871.405,109.090065,0
2116.1547808002115,2916.4482,2859.3394,109.04712,0
2116.1617253272398,2917.8628,2860.6926,109.08875,0
2116.1686698547337,2917.9646,2851.2354,109.09154,0
2116.1756143812972,2913.8096,2856.241,109.08695,0
2116.1825589078608,2909.1943,2863.39,109.02247,0
2116.189503434423,2922.4895,2862.3005,109.03551,0
2116.196447960054,2910.637,2856.238,109.01378,0
2116.2033924861507,2905.2957,2858.2642,109.028984,0
2116.2103370113173,2905.1013,2852.7385,109.04924,0
2116.217281536483,2917.0034,2869.4795,109.09078,0
2116.224226061184,2915.9744,2854.184,109.07131,0
2116.231170585417,2899.2234,2850.033,109.037285,0
2116.2381151096506,2918.9465,2862.1238,109.04301,0
2116.24505963342,2920.5776,2861.388,109.131004,0
2116.2520041571897,2905.1567,2862.2212,109.046486,0
2116.2589486804927,2909.4263,2850.346,109.03139,0
2116.26589320333,2902.123,2854.4727,109.00224,0
2116.272837726167,2907.6318,2855.9802,109.07166,0
2116.279782248539,2905.3376,2862.646,109.09699,0
2116.286726770446,2904.6643,2849.019,109.1306,0
2116.293671292352,2910.3438,2865.6318,109.036285,0
2116.3006158137923,2909.5376,2859.5195,108.953606,0
2116.3075603352327,2914.6692,2860.882,109.12194,0
2116.3145048562073,2916.9192,2854.705,109.06649,0
2116.3214493771825,2901.9553,2854.3455,108.99545,0
2116.3283938972263,2918.6685,2858.8755,109.04085,0
2116.3353384177353,2896.559,2844.1663,109.07144,0
2116.3422829373135,2896.148,2854.553,108.98564,0
2116.3492274573573,2903.6965,2853.1506,109.0753,0
2116.3561719764693,2916.9229,2862.6492,109.08884,0
2116.363116495581,2923.4768,2865.566,109.03154,0
2116.3700610142278,2895.8804,2856.6843,109.09448,0
2116.377005532874,2890.1772,2844.0427,109.15224,0
2116.3839500510558,2902.336,2854.9897,109.108284,0
2116.390894569236,2907.117,2857.5469,109.08244,0
2116.3978390869515,2908.664,2866.0686,109.13955,0
2116.404783604666,2901.2659,2866.431,109.11306,0
2116.411728121915,2908.2505,2855.378,109.03133,0
2116.4186726387006,2902.1873,2858.411,109.15398,0
2116.425617155484,2907.3547,2866.7415,109.016205,0
2116.4325616718015,2885.8267,2849.968,108.958405,0
2116.43950618812,2894.5803,2853.2808,109.12745,0
2116.446450703973,2904.8523,2856.5986,109.03677,0
2116.4533952198262,2896.105,2860.9082,109.18596,0
2116.4603397352125,2899.1223,2853.6472,109.14126,0
2116.467284250599,2908.1057,2860.6523,109.07539,0
2116.47422876552,2912.1724,2864.0193,109.10202,0
2116.4811732799762,2890.2805,2856.1602,108.98528,0
2116.4881177944326,2898.6785,2852.8997,109.07222,0
2116.495062308888,2892.4321,2867.3743,109.028656,0
2116.502006822878,2893.073,2846.835,109.026855,0
2116.508951336403,2889.3467,2847.519,109.11557,0
2116.515895849927,2890.0266,2856.906,108.99061,0
2116.5228403629853,2888.4158,2852.604,109.155014,0
2116.529784876044,2905.5796,2860.3105,109.07763,0
2116.5367293891013,2903.7625,2866.888,109.060295,0
2116.5436739012293,2904.5217,2860.1165,109.154945,0
2116.550618413823,2899.7314,2863.8303,109.17247,0
2116.55756292595,2895.39,2861.634,109.10245,0
2116.5645074376107,2897.6345,2860.2612,109.03642,0
2116.571451949272,2898.2327,2862.6316,109.093925,0
2116.578396460469,2895.367,2857.3933,109.061554,0
2116.5853409716647,2884.5635,2852.0588,109.12306,0
2116.592285482395,2900.0054,2864.485,109.079445,0
2116.599229993126,2881.3274,2852.6567,109.01358,0
2116.60617450339,2896.223,2860.6785,109.10305,0
2116.613119013655,2888.0713,2851.79,109.06276,0
2116.62006352392,2898.301,2854.5115,109.09263,0
2116.627008033719,2890.1665,2851.7773,109.12661,0
2116.6339525430512,2897.774,2856.8857,109.06074,0
2116.6408970523853,2906.4963,2864.1714,109.12733,0
2116.647841561253,2895.5208,2863.204,109.23815,0
2116.6547860701203,2878.703,2856.1975,109.10996,0
2116.6617305789878,2898.1436,2860.331,109.16745,0
2116.66867508739,2883.8413,2850.2456,109.180115,0
2116.6756195957923,2886.5332,2859.018,109.137215,0
2116.6825641037294,2886.7622,2859.9556,109.12333,0
2116.689508611199,2898.584,2857.3748,109.308716,0
2116.696453119135,2907.443,2860.3687,109.1747,0
2116.7033976261405,2882.8042,2850.4067,109.17729,0
2116.7103421336124,2892.2422,2852.679,109.133316,128
2116.7172866401515,2885.366,2855.5781,109.13075,0
2116.7242311471564,2881.9424,2849.5464,109.19482,0
2116.7311756536956,2897.1658,2851.2134,109.13975,0
2116.738120159768,2887.9458,2862.9438,109.14392,0
2116.7450646658426,2896.5952,2860.6704,109.14014,0
2116.752009171917,2907.1094,2861.7544,109.250725,0
2116.7589536775245,2897.489,2861.51,109.10665,0
2116.765898182666,2900.7522,2865.056,109.19506,0
2116.7728426882745,2889.6345,2854.7046,109.19435,0
2116.779787193417,2895.7488,2861.224,109.22762,0
2116.7867316980937,2899.9905,2863.663,109.19572,0
2116.793676202771,2884.247,2859.3716,109.18329,0
2116.800620706982,2893.9563,2861.0103,109.19052,0
2116.8075652111925,2888.2922,2853.4707,109.20822,0
2116.814509715404,2888.9177,2860.2505,109.08757,0
2116.82145421915,2890.1084,2856.69,109.08111,0
2116.828398722895,2897.6323,2857.7212,109.156296,0
2116.835343226174,2885.5254,2855.8425,109.2165,0
2116.8422877294543,2875.0322,2848.425,109.29755,0
2116.8492322327347,2882.7087,2856.8362,109.22817,0
2116.8561767355477,2902.6145,2856.3528,109.20228,0
