TIME,PSF_FLUX,APER_FLUX,BKG_FLUX,QUALITY
1382.0578982808938,2757.9827,2706.3965,160.69504,1
1382.078731895916,2770.0942,2713.9136,157.61835,1
1382.099565509541,2766.1707,2713.3728,155.74696,1
1382.120399122234,2773.4763,2719.347,154.47649,1
1382.1412327339958,2770.9558,2712.9832,153.03685,1
1382.162066344827,2755.4546,2711.0623,150.68173,1
1382.1828999537952,2771.9822,2722.245,147.02,1
1382.203733561833,2767.0894,2718.3872,142.80153,1
1382.224567168007,2783.815,2733.8557,138.75018,1
1382.245400773249,2789.8628,2734.2808,135.07225,1
1382.26623437663,2802.6343,2745.6016,131.86514,1
1382.287067978614,2803.7922,2739.8982,129.30302,1
1382.3079015787348,2822.0608,2752.633,126.71794,1
1382.328735176993,2818.7566,2758.6606,123.82711,1
1382.349568773388,2819.2043,2755.7222,120.753784,1
1382.3704023683858,2831.9177,2765.1973,118.08454,1
1382.3912359615229,2832.2876,2758.8484,116.102715,1
1382.412069552331,2840.6953,2735.332,114.29201,128
1382.4329031412753,2823.4155,2768.399,112.62651,0
1382.4537367283579,2823.1995,2762.259,111.09718,128
1382.4745703135775,2830.0796,2773.8503,110.20935,0
1382.4954038964688,2832.3918,2781.2178,109.77069,0
1382.516237477497,2827.5437,2772.6392,109.582565,0
1382.620405350975,2207.4448,316.26126,110.128975,132
1382.641238919431,2067.2002,-370.67654,110.294975,132
1382.6620724855595,2047.1503,117.50349,109.59824,128
1382.6829060498249,2003.5774,-509.04218,110.28835,132
1382.7037396117605,2034.0275,-820.91345,111.46556,132
1382.7245731713679,1626.65,-1043.7471,111.03533,132
1382.7454067295798,2206.8496,31.560305,109.65866,128
1382.7662402849978,2170.0884,520.9842,109.189285,128
1382.7870738385525,2133.2927,782.77527,109.142746,128
1382.807907390244,2299.6025,377.38867,109.15194,128
1382.828740939608,2096.0198,894.6439,108.9394,128
1382.8495744871088,2334.639,1360.1871,108.92374,128
1382.8704080322818,2167.529,932.27386,108.90528,128
1382.8912415755926,2178.5894,382.52386,109.23878,128
1382.9120751170399,2102.2253,725.5547,109.0037,128
1382.932908656625,2171.1455,793.3489,108.84267,128
1382.9537421938815,2202.1748,1195.5337,108.820404,128
1382.9745757292749,1840.1027,692.828,108.80025,128
1382.9954092628068,2244.7751,846.7608,108.80398,128
1383.01624279401,1801.5201,131.16577,109.16037,132
1383.037076323816,1899.7839,-157.24922,109.58873,132
1383.057909851294,2104.3784,720.23914,108.78298,128
1383.0787433773744,1858.2493,916.12854,108.67484,128
1383.099576901127,1791.4237,923.5416,108.676796,128
