TICID,planet_name,period,T0,Tdur,depth,SNR
307210830.0,1.0,2.252,1354.896,0.041,0.001,973.31
307210830.0,2.0,3.694,1356.159,0.098,0.001,1027.141
307210830.0,3.0,7.452,1355.327,0.076,0.0,1110.711
307210830.0,4.0,22.457,1357.421,0.802,0.0,88.189
307210830.0,5.0,23.863,1372.469,0.482,0.0,232.386
307210830.0,6.0,34.022,1366.439,0.118,0.0,1407.826
307210830.0,7.0,49.344,1362.526,0.126,0.001,2408.108
307210830.0,8.0,20.293,2259.091,0.31,0.0,264.75
307210830.0,9.0,35.803,2260.889,0.132,0.001,2166.555
307210830.0,10.0,12.426,2263.793,0.03,0.0,1063.728
307210830.0,11.0,27.649,1524.432,0.065,0.001,689.374
