TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
27649847,1,Period,1492.638,1.544,0.001,0.054,0.029,0.001,9.448,0.008,0.1604,0.4325,1.0,0.109,0.002,184.767
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
27649847,1.0,Period,1492.638,1.544,0.001,0.054,0.029,0.001,9.448,0.008,0.1604,0.4325,1.0,0.109,0.002,184.767
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
27649847,1.0,Period,1492.638,1.544,0.001,0.054,0.029,0.001,9.448,0.008,0.1604,0.4325,1.0,0.109,0.002,184.767
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
27649847,1.0,Period,1492.638,1.544,0.001,0.054,0.029,0.001,9.448,0.008,0.1604,0.4325,1.0,0.109,0.002,184.767
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
27649847,1.0,Period,1492.638,1.544,0.001,0.054,0.029,0.001,9.448,0.008,0.1604,0.4325,1.0,0.109,0.002,184.767
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
27649847,1.0,Period,1492.638,1.544,0.001,0.054,0.029,0.001,9.448,0.008,0.1604,0.4325,1.0,0.109,0.002,184.767
TICID,Planet_Num,Ptype,T0,Period,Depth,Dur,Rad_p,Cosi,Semi_Maj,b,u1,u2,Norm,Win,Tau,SNR
27649847,1.0,Period,1492.638,1.544,0.001,0.054,0.029,0.001,9.448,0.008,0.1604,0.4325,1.0,0.109,0.002,184.767
